문제번호,과목,문제,보기1,보기2,보기3,보기4,정답,해설,문제이미지,문제이미지너비,보기1이미지,보기1이미지너비,보기2이미지,보기2이미지너비,보기3이미지,보기3이미지너비,보기4이미지,보기4이미지너비,해설이미지,해설이미지너비
56,교통안전관리론,다음 중 운전적성 정밀검사의 내용이 아닌 것은?,처치 판단검사,속도추정 반응검사,중복작업 반응검사,운전자 MBTI(성격유형) 검사,4,"운전적성 정밀검사는 운전자의 인지 능력, 반응 속도, 판단력, 주의력 등 교통안전과 직접적으로 관련된 능력을 평가하는 검사이다.

처치 판단검사: 주어진 상황에서 운전자가 적절한 판단을 내릴 수 있는지를 측정한다.
속도추정 반응검사: 속도 감각을 평가하여 운전 중 속도를 적절히 조절할 수 있는지 확인한다.
중복작업 반응검사: 여러 가지 작업을 동시에 수행하는 능력을 평가하여 복잡한 운전 상황에서의 대응 능력을 측정한다.
반면, MBTI(성격유형) 검사는 개인의 성격 유형을 분석하는 검사로, 운전적성 정밀검사와는 무관하다. 성격 유형은 운전 습관과 간접적으로 관련될 수 있지만, 직접적인 운전 적성 평가 항목에는 포함되지 않는다.",,,,,,,,,,,,
57,교통안전관리론,교통안전관리의 계획수립과 관련하여 다음 중 계획단계에 해당하지 않는 것은?,교통안전에 대한 정보 수집,계획의 수립,계획의 집행,계획의 추진일정 결정,3,"교통안전관리의 계획수립 과정은 일반적으로 정보 수집 → 분석 → 계획 수립 → 실행을 위한 준비 단계로 진행된다.

1번 (교통안전에 대한 정보 수집): 계획을 세우기 위한 기초자료를 모으는 과정으로, 계획단계에 포함된다.
2번 (계획의 수립): 수집한 정보를 바탕으로 목표와 구체적인 전략을 설정하는 과정이며, 명확히 계획단계에 속한다.
4번 (계획의 추진일정 결정): 계획을 실행하기 전에 일정과 세부 실행 계획을 조정하는 과정으로, 계획단계에 포함된다.
3번 (계획의 집행): 실제로 계획을 실행하는 단계로, 계획을 세우는 과정이 아니라 실행 단계에 해당하므로 계획단계가 아니다.",,,,,,,,,,,,
58,교통안전관리론,교통안전관리의 단계 중 최고 경영진에게 가장 효과적인 관리방안을 제시하는 단계는?,준비단계,계획단계,설득단계,확인단계,3,"교통안전관리의 단계는 일반적으로 준비 → 계획 → 설득 → 실행 → 확인의 과정으로 진행된다.

1번 (준비단계): 교통안전관리의 기본 정보를 수집하고 분석하는 기초적인 단계이다.
2번 (계획단계): 목표를 설정하고 교통안전 정책 및 실행 방안을 설계하는 과정이다.
3번 (설득단계): 수립된 계획을 최고 경영진이나 의사결정권자에게 설명하고, 실행을 위한 승인을 받는 과정이다. 따라서 최고 경영진에게 가장 효과적인 관리방안을 제시하는 단계는 설득단계가 된다.
4번 (확인단계): 실행된 계획이 효과적으로 작동하는지 점검하고 평가하는 과정으로, 관리방안을 제시하는 단계가 아니다.",,,,,,,,,,,,
59,교통안전관리론,교통수단의 선택에 대한 설명 중 맞는 것은? ,신속성에 중점을 두어 결정한다.,경제성에 중점을 두어 결정한다.,정확성에 중점을 두어 결정한다.,통로이동의 양과 질에 따라 결정한다.,4,"교통수단을 선택하는 기준은 여러 가지 요인이 작용하지만, 가장 일반적인 개념은 **교통 흐름(통로이동의 양과 질)**에 따라 결정된다는 것이다.

1번 (신속성에 중점을 두어 결정한다.) → 신속성은 중요한 요소지만, 교통수단 선택의 유일한 기준이 아니다.
2번 (경제성에 중점을 두어 결정한다.) → 비용도 중요한 요인이지만, 단일한 기준으로 볼 수 없다.
3번 (정확성에 중점을 두어 결정한다.) → 교통수단 선택에서 정확성보다는 이동의 효율성이 중요한 요소다.
4번 (정답) ""통로이동의 양과 질에 따라 결정한다."" → 교통수단 선택은 이동 경로에서의 교통 흐름(양과 질)에 따라 적절한 수단이 결정되므로, 가장 적절한 설명이다.",,,,,,,,,,,,
60,교통안전관리론,다음 중 조직설계의 원칙이 아닌 것은? ,전문화의 원칙,명령통일의 원칙,권한 및 책임의 원칙,권한집중의 원칙,4,"조직설계의 원칙은 효율적이고 체계적인 조직 운영을 위한 기준이며, 일반적으로 다음과 같은 요소를 포함한다.

1번 (전문화의 원칙): 업무를 세분화하여 전문가들이 효율적으로 수행하도록 하는 원칙.
2번 (명령통일의 원칙): 조직 내에서 하나의 명령체계를 유지하여 혼선을 방지하는 원칙.
3번 (권한 및 책임의 원칙): 권한과 책임이 명확하게 부여되어야 한다는 원칙.
반면,

4번 (권한집중의 원칙): 조직설계에서 일반적으로 강조되는 원칙이 아니다. 현대 조직에서는 권한을 분산(분권화)하여 의사결정을 효율적으로 하려는 경향이 강하다. 따라서 조직설계의 원칙으로 보기 어렵다.",,,,,,,,,,,,
61,교통안전관리론,운전자 교육시 같은 단계에 있는 운전자를 모아 상호학습을 활용하며 효율적인 집단교육을실시하는 원리는? ,단계즉응의 원리,개별성의 원리,자발성의 원리,반복성의 원리,1,"운전자 교육에서는 학습자의 수준과 필요에 맞춰 적절한 교육 방식을 적용하는 것이 중요하다.

1번 (단계즉응의 원리 - 정답): 같은 수준의 학습자를 모아 단계별로 적절한 교육을 제공하는 원리로, 학습자 간 상호학습을 촉진하고 효과적인 집단교육을 가능하게 한다.
2번 (개별성의 원리): 학습자의 개별적인 능력과 필요를 고려하여 맞춤형 교육을 제공하는 원리지만, 집단교육과는 거리가 있다.
3번 (자발성의 원리): 학습자가 자발적으로 참여해야 교육 효과가 높아진다는 원리지만, 문제에서 언급된 ""같은 단계의 학습자 모으기"" 와는 무관하다.
4번 (반복성의 원리): 중요한 내용을 반복적으로 학습하여 숙달을 돕는 원리지만, 상호학습과 관련된 개념은 아니다.",,,,,,,,,,,,
62,교통안전관리론,안전교육중에 가장 기본적이며 인내력이 필요한 교육은?,안전 기술 교육,안전 태도 교육,안전 숙지 교육,안전 지식 교육,2,"안전교육은 기술, 지식, 태도 등의 요소로 구성되며, 이 중에서 가장 기본적이며 인내력이 필요한 교육은 ""안전 태도 교육"" 이다.

각 보기의 의미를 분석하면:

1번 (안전 기술 교육) → 안전한 작업 수행을 위한 기술을 익히는 교육으로, 실습 중심의 교육이 많지만 태도 교육만큼 장기적인 노력이 필요하지 않을 수 있다.
2번 (안전 태도 교육) - 정답 → 안전한 행동과 사고방식을 습관화하는 과정으로, 장기적인 교육과 반복적인 학습이 필요하며 인내력이 필수적이다.
3번 (안전 숙지 교육) → 안전 규칙과 절차를 숙지하는 교육으로, 상대적으로 짧은 기간에 습득할 수 있다.
4번 (안전 지식 교육) → 안전과 관련된 이론적 지식을 전달하는 과정으로, 태도 교육보다 인내력이 덜 요구된다.",,,,,,,,,,,,
63,교통안전관리론,다음 중 교육훈련 목적의 하나인 것은? ,조직협력,조직의 통계,조직 정비,지휘계통의 확립,1,"교육훈련의 목적은 개인의 능력 향상, 조직 내 협력 증진, 효과적인 업무 수행을 위한 지식과 기술 습득에 있다.

각 보기의 분석:

1번 (조직협력) - 정답 → 조직 구성원 간의 협력을 강화하고, 원활한 의사소통과 팀워크를 증진하는 것이 교육훈련의 핵심 목적 중 하나이다.
2번 (조직의 통계) → 조직의 운영과 관련된 통계 분석은 교육훈련의 직접적인 목적이 아니다.
3번 (조직 정비) → 조직을 정비하는 것은 경영 및 행정적인 작업이며, 교육훈련의 주요 목적과 거리가 있다.
4번 (지휘계통의 확립) → 조직 내 지휘체계를 정립하는 것은 조직 운영과 관련된 사항이지, 교육훈련의 직접적인 목표는 아니다.",,,,,,,,,,,,
64,교통안전관리론,운전적성 정밀검사에서 신규검사의 경우 적합판정이 되기 위해서는 각 검사항목에서 취득한 점수를 요인별로 합산하여 모든 요인이 몇 점이 되어야 하는가? ,30점 이상,50점 이상,60점 이상,80점 이상,2,신규검사는 각 검사항목에서 취득한 점수를 요인 별로 합산하여 모든 요인이 50점 이상이면 적합으로 판정합니다.,,,,,,,,,,,,
65,교통안전관리론,배수구의 깊이는 도로중심선 높이로부터 최소 얼마 이상이어야 하는가?,20cm,40cm,60cm,80cm,3,"배수구 : 깊이는 도로중심선 높이로부터 최소 60cm 이상, 노반보다 최소 15cm
이상 낮아야 한다.",,,,,,,,,,,,
66,교통안전관리론,교통사고 요인이 배열되어 있는 형태로 분류할 경우 적당하지 않은 것은? ,집중형,복합형,교차형,연쇄형,3,"교통사고의 요인은 일반적으로 사고 발생 패턴에 따라 몇 가지 유형으로 분류된다.

1번 (집중형) → 특정 지점이나 구역에서 사고가 집중적으로 발생하는 유형으로, 신호교차로 또는 위험 지역에서 자주 발생한다.
2번 (복합형) → 여러 가지 요인이 동시에 작용하여 발생하는 사고 유형으로, 다양한 사고 원인이 결합된 형태이다.
4번 (연쇄형) → 다중 충돌 사고와 같이 연속적으로 발생하는 사고 유형으로, 고속도로 등에서 앞차와의 간격 부족, 급정거 등이 원인이 된다.",,,,,,,,,,,,
67,교통안전관리론,교통단속시 발생하는 단속의 파급효과가 일정기간 지속되고 인접지역에 까지 영향을 미치는것을 무엇이라 하는가? ,할로효과,파동효과,인적효과,경제효과,1,"교통단속이 시행되면 단속이 이루어진 지점뿐만 아니라, 그 영향이 일정 기간 동안 지속되거나 주변 지역에도 영향을 미치는 현상이 나타난다. 이를 ""할로효과(Halo Effect)"" 라고 한다.

각 보기의 의미 분석:

1번 (할로효과) - 정답 → 단속이 이루어진 후에도 운전자들이 그 영향을 받아 일정 기간 동안 신호 준수나 속도 제한을 지키는 경향이 지속되며, 인근 지역에서도 같은 효과가 나타나는 현상을 뜻한다.",,,,,,,,,,,,
68,교통안전관리론,다음중 교통사고에 영향을 주는 운전자의 육체적 능력이 아닌 것은? ,지능,주의력,시야,현혹 회복력,1,"운전자의 육체적 능력은 운전 중 차량 조작과 주변 환경을 인식하는 신체적 요소를 의미하며, 다음과 같은 요소가 포함된다.

주의력: 도로 상황을 지속적으로 인식하고 위험 요소를 감지하는 능력.
시야: 운전 중 주변을 시각적으로 인식하는 능력.
현혹 회복력: 눈이 강한 빛(예: 반대편 차량의 헤드라이트)에 노출되었을 때 다시 정상적인 시력을 회복하는 능력.
반면,

지능(1번) - 정답 → 운전 능력과 관련은 있지만, 운전자의 신체적(육체적) 능력이 아니라 인지적 능력에 해당하므로 정답이다.",,,,,,,,,,,,
69,교통안전관리론,사람에게는 여러 가지 감각기관이 있으나 운전 중에 약 80%를 점유하는 감각기관은 무엇인가?,시각,촉각,미각,청각,1,"운전 중 대부분의 정보는 시각을 통해 인지되며, 연구에 따르면 운전 중 80% 이상의 정보는 시각에 의존한다고 알려져 있다.

각 감각기관의 역할 분석:

시각 (1번) - 정답 → 도로 표지판, 신호등, 다른 차량, 보행자, 도로 상황 등을 파악하는 가장 중요한 감각기관.",,,,,,,,,,,,
70,교통안전관리론,주행속도와 시각 특성과의 관계가 맞게 설명된 것은?,주행속도와 시력과는 상관성이 없다.,운전 중에는 한 곳을 집중적으로 주시하면서 운전해야 한다.,운전하는 데 중요시되는 시력은 동체시력이다.,속도가 빠를수록 시야가 넓어진다.,3,"운전 시 시각 특성은 매우 중요한 요소이며, 특히 동체시력(dynamic vision) 이 필수적이다.",,,,,,,,,,,,
71,교통안전관리론,다음 중 교통사고에 비중을 주는 방법이 아닌 것은? ,도로의 종류에 의한 비중,관련된 교통단위의 수에 의한 비중,사고 비용에 의한 비중,가장 심한 부상에 의한 비중,1,"교통사고를 분석할 때는 사고의 심각성, 관련된 단위 수, 비용 등의 기준을 바탕으로 사고에 비중을 두는 방법이 사용된다.
1번 (도로의 종류에 의한 비중) - 정답 → 도로의 종류(고속도로, 일반도로, 지방도로 등)는 사고 발생률과 관계가 있을 수 있지만, 교통사고의 비중을 평가하는 직접적인 방법은 아니다.",,,,,,,,,,,,
72,교통안전관리론,매슬로우(Maslow)의 욕구 5단계를 바르게 나열한 것으로 옳은 것은?,생리적 욕구 ? 안전 욕구 ? 사회적 욕구 ? 존경 욕구 ? 자아실현 욕구,생리적 욕구 ? 사회적 욕구 ? 존경 욕구 ? 안전 욕구 ? 자아실현 욕구,생리적 욕구 ? 존경 욕구 ? 안전 욕구 ? 사회적 욕구 ? 자아실현 욕구,생리적 욕구 ? 사회적 욕구 ? 안전 욕구 ? 존경 욕구 ? 자아실현 욕구,1,"매슬로우의 욕구 5단계 이론(Maslow's Hierarchy of Needs) 은 인간의 욕구를 기본적인 생리적 욕구에서부터 자아실현 욕구까지 계층적으로 설명하는 이론이다.

욕구의 단계는 다음과 같다:

생리적 욕구(리적 욕구) → 음식, 물, 공기, 수면 등 기본적인 생존을 위한 욕구
안전 욕구 → 신체적 안전, 직업 안정성, 건강 보호 등
사회적 욕구 → 애정, 소속감, 인간관계
존경 욕구 → 자기 존중, 타인의 인정, 성취감
자아실현 욕구 → 자신의 가능성을 최대로 발휘하고 창의적으로 성장하는 단계",,,,,,,,,,,,
73,교통안전관리론,다음중 교통사에 대한 직간접적으로 가장 큰 영향을 주는 것으로 볼 수 있는 것은?,교통시설,운전자의 인식,교통수단,교통환경,2,"교통사고 발생에는 도로, 차량, 환경, 운전자 행동 등 여러 요소가 영향을 미친다.
그중에서도 운전자의 인식 능력(전자의 인식) 이 가장 중요한 요소로 작용한다.",,,,,,,,,,,,
74,교통안전관리론,교통사고 방지를 위해 요구되는 원칙이 아닌 것은?,정상적인 컨디션과 정돈된 환경유지의 원칙,무리한 행동 배제의 원칙,방어확인의 원칙,원만한 양보의 원칙,4,"운전 중 양보는 중요한 태도이지만, 사고 방지를 위한 필수 원칙은 아니다.
운전에서 최우선은 사고 예방과 방어운전이며, 양보는 부차적인 요소이므로 이 원칙이 반드시 요구되는 것은 아니다.",,,,,,,,,,,,
75,교통안전관리론,"교통안전관리의 단계 중 작업장, 사고현장 등을 방문하여 안전지시, 일상적인 감독상태 등을 점검하는 단계에 해당하는 것은?",준비단계,계획단계,조사단계,설득단계,3,"교통안전관리는 여러 단계로 이루어지며, 현장 확인과 감독이 이루어지는 단계는 ""조사단계"" 이다.

각 보기의 분석:

1번 (준비단계) → 안전관리의 기초 정보를 수집하고, 관련 자료를 정리하는 단계로 현장 방문과 직접적인 감독은 포함되지 않는다.
2번 (계획단계) → 안전관리 계획을 수립하는 단계로, 구체적인 조사나 감독이 이루어지는 단계가 아니다.
3번 (조사단계) - 정답 → 작업장과 사고현장을 방문하여 안전지시 및 감독을 수행하는 단계이며, 사고 원인 분석과 안전 점검이 이루어진다.
4번 (설득단계) → 안전관리 방안을 제안하고 관계자들에게 실행을 유도하는 단계이므로, 직접적인 감독과는 거리가 있다.",,,,,,,,,,,,
76,자동차정비,다음 중 기관에서 윤활유 소비가 과다한 원인에 해당되지 않는 것은?,수온조절기의 열림 유지,밸브시스템 및 가이드 마모,실리더의 마모,피스톤링의 마모,1,,,,,,,,,,,,,
77,자동차정비,강자성체에 자장을 작용시켜 이것을 자화한 다음 자장을 제거하여도 자화된 물체에는 자력이 남는데 이때 남아 있는 것을 무엇이라 하는가?,자기포화,임피던스,여자전류,잔류자기,4,,,,,,,,,,,,,
78,자동차정비,다음 중 앞바퀴 정렬(Front Wheel Alignment)의 요소로 볼 수 없는 것은?,캐스터(Caster),추진축(Propeller Shaft),킹 핀 경사각(King pin angle) ,캠버(Camber) 각,2,,,,,,,,,,,,,
79,자동차정비,크랭크에서 진동센서(바이브레이션 센서)가 하는 기능은?,크랭크 축의 지지,피스톤 운동의 활성화,크랭크 소음의 감소,진도의 감지,4,,,,,,,,,,,,,
80,자동차정비,자동차 타이어의 공기압이 낮을 경우 발생할 수 있는 현상으로 볼 수 없는 것은?,제동거리가 길어진다.,트레드 수명이 늘어난다.,배출가스가 더 많이 배출한다.,권장압력보다 낮은 타이어압력은 연비를 저하 시킨다.,2,,,,,,,,,,,,,
81,자동차정비,매연저감장치(DPF)을 장착한 차량의 기능으로 맞지 않는 것은?,필터가 꽉 차서 막히게 되며 배압이 생겨 연비와 출력이 동시에 상승한다.,디젤엔진에서 나오는 매연의 미세먼지를 포집하는 장치와 포집한 먼지를 태워 없애는 장치로 이루어 진다.,기본적으로 연료를 더 뿜는 구조이기에 포집된 먼지를 태울 때 연비는 나빠지게 된다.,"DPF용 엔진오일은 엔진 보호능력이 상대적으로 떨어지고 수명이 짧거나, 그렇지 않으면 상재적으로 비싸다.",1,,,,,,,,,,,,,
82,자동차정비,하이브리드(HEV) 차량의 전기장치 정비 전 지킬 사항으로 가장 부적절한 것은?,준비(Ready) 표시등이 꺼져 있는 상태가 시스템 정지 상태이다.,엔진이 정지하였다면 하이브리드 시스템이 정지 상태하고 판단해도 무관하다.,해당 차종의 매뉴얼 및 안전수칙을 반드시 참고하여 정비 및 구조에 들어가야 한다.,오렌지색의 고전압 케이블과 고전압 부품에 접촉하지 않도록 각별히 주의해야 한다.,2,,,,,,,,,,,,,
83,자동차정비,차동기어장치를 바르게 설명한 것은?,필요시 양쪽 바퀴의 회전 속도의 차이를 발생시킨다.,"회전력을 앞 차축에 전달하고, 동시에 감속하는 일을 한다.","회전하는 두 축이 일직선상에 있지 않고 어떤 각도를 가지고 있는 경우, 두 축 사이에 동력을 전달하기 위한 장치이다.",변속기로부터 최종 감속 기어까지 동력을 전달하는 축을 말한다.,1,,,,,,,,,,,,,
84,자동차정비,자동차 검사에서 일산화탄소가 지나치게 많이 배출된다는 지적을 받은 경우 정비방법은? ,실린더 피스톤의 교체,자동차 오일의 교체,타이어 공기압 조정,점화플러그 교환,4,,,,,,,,,,,,,
85,자동차정비,산소센서에 카본이 많이 오염 되었을 때의 현상으로 맞는 것은?,공회전시 기관 부조현상이 일어날 수 있다.,출력신호를 제어하므로 엔진에 미치는 영향이 없다.,피드백제어로 공연비를 정확하게 제어한다.,출력전압이 낮아진다.,1,,,,,,,,,,,,,
86,자동차정비,타이어 압력 모니터링 장치(TPMS)의 점검 및 정비시 잘못된 것은?,타이어 압력센서용 배터리 수명은 약 10년이다.,타이어 분리시 타이어 압력센서가 파손되지 않게 한다.,타이어 압력센서 장착용 휠은 일반 휠과 다르다.,타이어 압력센서는 공기 주입밸브와 일체로 되어 있다.,1,,,,,,,,,,,,,
87,자동차정비,수동변속기에서 싱크로 메시(synchro mesh) 기구의 기능이 작용하는 시기는?,클러치 페달을 밟을 때,변속기어가 물릴 때,클러치 페달을 놓을 때,변속기어가 물려있을 때,2,,,,,,,,,,,,,
88,자동차정비,전기자 코일 과 계자 코일을 병렬로 접속한 전동기 형식은? ,복권 전동기,분권 전동기,차동 전동기,직권 전동기,2,,,,,,,,,,,,,
89,자동차정비,자동차 배출가스의 분류에 속하지 않는 것은?,배기가스,할로겐 가스,블로바이 가스,증발가스,2,,,,,,,,,,,,,
90,자동차정비,추진축의 자재이음은 어떤 변화를 가능하게 하는가?,회전 토크,회전축의 각도,회전 속도,축의 길이,2,,,,,,,,,,,,,
91,자동차정비,자동차 VIN(Vehicle Identification Number)의 정보에 포함되지 않는 것은?,엔진의 종류,제동장치 구분,안전밸트 구분,자동차 종별,2,,,,,,,,,,,,,
92,자동차정비,점화순서가 1-3-4-2인 4행정 엔진의 3번 실린더가 압축행정을 할 때 1번 실린더는?,흡입행정,압축행정,폭발행정,배기행정,3,,,,,,,,,,,,,
93,자동차정비,가솔린 엔진의 연료 펌프에서 연료라인 내의 압력이 과도하게 상승하는 것을 방지하기 위한 장치는?,사일런서(Silencer),니들밸브(Needle Valve),릴리프 밸브(Relief Valve),체크 밸프(Check Valve),3,,,,,,,,,,,,,
94,자동차정비,변속기의 변속비(기어비)를 구하는 식은?,카운터 기어 잇수를 변속단 카운터 기어잇수로 곱한다.,입력축의 회전수를 엔진의 회전수로 나눈다.,부축의 회전수를 엔진의 회전수로 나눈다.,엔진의 회전수를 추진축의 회전수로 나눈다.,4,,,,,,,,,,,,,
95,자동차정비,반도체의 장점으로 틀린 것은?,예열을 요구하지 않고 곧바로 작동을 한다.,고온에서도 안정적으로 동작한다.,내부 전력 손실이 매우 적다.,극히 소형이고 경량이다.,2,,,,,,,,,,,,,
96,자동차정비,커넥팅 로드 대단부의 배빗메탈의 주재료는?,주석(Sn),납(Pb),구리(Cu),안티몬(Sb),1,,,,,,,,,,,,,
97,자동차정비,점화플러그의 간극이 클 때 일어나는 현상은 ?,역화,실화,착하,점화,2,,,,,,,,,,,,,
98,자동차정비,기관에서 배출되는 Nox가 가장 많이 배출되는 경우는?,공연비가 이론혼합비 부근의 경우,공연비가 이론혼합비보다 매우 농후한 경우,공연비가 이론혼합비보다 매우 희박한 경우,공연비와는 관련이 없다.,3,,,,,,,,,,,,,
99,자동차정비,다음 중 플레밍의 오른손 법칙이 적용된 것으로 볼 수 있는 것은?,전동기,트랜지스터,발전기,출전기,3,,,,,,,,,,,,,
100,자동차정비,자동차 와이퍼의 작동과 관련하여 작동이 잘 되지 않는 원인으로 볼 수 없는 것은?,와이퍼 작동시의 워셔액 사용,컴비네이션 스위치 불량,와이퍼 모터 불량,와이퍼 모터에 공급되는 전원 불량,1,,,,,,,,,,,,,
101,자동차공학,가솔린 기관 차량에서 전동팬이 회전하지 않을 때 확인해야 할 사항이 아닌 것은?,온도 게이지 불량,냉각팬 휴즈 단선,수온 스위치 불량,전동팬 릴레이 작동 불량,1,,,,,,,,,,,,,
102,자동차공학,자동차 에어컨의 고장 현상과 원인을 설명한 것으로 틀린 것은?,마그네틱 클러치 미끄러짐 ? 에어컨 릴레이 불량,압축기가 회전 안됨 ? 저압 스위치 불량,풍량 부족 ? 벨트 헐거움,시원하지 않음 ? 냉매 부족,4,,,,,,,,,,,,,
103,자동차공학,어떤 가솔린 기관의 점화순서가 1-3-4-2 이다. 이때 4번이 폭발행정을 하면 1번은 어떤 행정을 하는가?,흡입,압축,폭발,배기,2,,,,,,,,,,,,,
104,자동차공학,가솔린 기관의 노크에 대한 설명으로 틀린 것은?,억제하는 연료를 사용하면 노크가 줄어든다.,화염 전파 속도를 늦추면 노크가 줄어든다.,기관의 출력을 저하시킨다.,실린더 벽을 해머로 두들기는 것과 같은 음이 발생한다.,4,,,,,,,,,,,,,
105,자동차공학,정상으로 작동되고 있는 기관의 윤활장치 내의 유압은? ,1~kg/cm2,3~5kg/cm2,10~15kg/cm2,15~20kg/com2,2,,,,,,,,,,,,,
106,자동차공학,가솔린 기관의 연료 옥탄가에 대한 설명으로 옳은 것은?,탄화수소의 종류에 따라 옥탄가가 변화된다.,노크를 일으키지 않는 기준연료를 이소옥탄으로 하고 그 옥탄가를 0으로 한다.,옥탄가 90이하의 가솔린은 4- 에틸납을 혼합한다.,옥탄가의 수치가 높은 연료일수록 노크를 일으키기 쉽다.,1,,,,,,,,,,,,,
107,자동차공학,다음 중 전자제어 연료 분사장치의 페일 세이프(fail safe) 기능이 적용되지 않는 부품은?,TCD센서,흡기온 센서,냉각수온 센서,산소센서,2,,,,,,,,,,,,,
108,자동차공학,전자제어 엔진에서 흡입하는 공기량 측정 방법이 아닌 것은?,엔진 회전속도,흡기 다기관 부악,피스톤 직경,스로틀 밸브 열림각,1,,,,,,,,,,,,,
109,자동차공학,크랭킹은 가능하지만 엔진 시동이 어렵다면 그 원인은?,흡기온도 센서 불량,산소센서 불량,흡입공기량 센서 불량,크랭크각 센서 불량,4,,,,,,,,,,,,,
110,자동차공학,동력조향장치에서 직진할 경우 동력피스톤의 운동상태는?,"동력피스톤은 좌,우실의 유압이 같으므로 정지하고 있다.",동력피스톤은 리액션 스프링을 압축하여 왼쪽으로 이동한다.,동력피스톤이 오른쪽으로 움직여서 오른쪽으로 조향한다.,동력피스톤이 왼쪽으로 움직여서 왼쪽으로 조향한다.,1,,,,,,,,,,,,,
111,자동차공학,4행정 사이클 자동차 엔진의 열역학적 사이클 분류로 틀린 것은?,오토 사이클,사바테 사이클,디젤 사이클,클러크 사이클,1,,,,,,,,,,,,,
112,자동차공학,엔진의 부하 및 회전속도의 변화에 따라 형성되는 흡기 다기관의 압력변화를 측정하여 흡입 공기량을 계측하는 센서는?,칼만 와류방식 센서,핫 와이어 방식 센서,베인 방식 센서,MAP 센서,2,,,,,,,,,,,,,
113,자동차공학,6속 더블 클러치 변속기(DCT)의 주요 구성부품이 아닌 것은?,클러치 액추에이터,더블 클러치,기어 액추에이터,토크 컨버터,2,,,,,,,,,,,,,
114,자동차공학,유체 클러치와 토크 컨버터에 대한 설명 중 틀린 것은?,가이드 링은 유체 클러치 내부의 압력을 증가시키는 역할을 한다.,"유체 클러치는 펌프, 터빈, 카이드 링으로 구성되어 있다.",토크 컨버터는 토크를 증가시킬 수 있다.,토크 컨버터에는 스테이터가 있다.,2,,,,,,,,,,,,,
115,자동차공학,물체의 전기 저항 특성에 대한 설명 중 틀린 것은?,온도가 상승하면 전기 저항이 감소하는 소자를 부특성 서미스터(NTC)라고 한다.,보통의 금속은 온도 상승에 따라 저항이 감소한다.,도체의 저항은 온도에 따라서 변한다.,단면적이 증가하면 저항은 감소한다.,2,,,,,,,,,,,,,
116,자동차공학,자동차 전자제어 에어컨 시스템에서 제어 모듈의 입력요소가 아닌 것은?,증발기 온도센서,이사량 센서,외기 온도 센서,산소 센서,2,,,,,,,,,,,,,
117,자동차공학,하이브리드 자동차의 연비 향상 요인이 아닌 것은?,회생 제동(배터리 충전)을 통해 에너지를 흡수하여 재사용한다.,연비가 좋은 영역에서 작동되도록 동력 분배를 제어한다.,정차시 엔진을 정지(오토 스톱)시켜 연비를 향상시킨다.,주행시 자동차의 공기저항을 높여 연비가 향상된다.,3,,,,,,,,,,,,,
118,자동차공학,수소 연료 전지 전기자동차의 구동모터를 작동하기 위한 전기에너지를 공급 또는 저장하는 기능을 하는 것은?,엔진 제어기,고전압 배터리,변속기 제어기,보조 배터리,3,,,,,,,,,,,,,
119,자동차공학,밸브 스프링의 공진현상을 방지하는 방법으로 틀린 것은?,밸브 스프링의 고유 진동수를 낮춘다.,부동 피치 스프링을 사용한다.,원뿔형 스프링을 사용한다.,2중 스프링을 사용한다.,4,,,,,,,,,,,,,
120,자동차공학,브레이크 라이닝 표면이 과열되어 마찰계수가 저하되고 브레이크 효과가 나빠지는 현상은?,하이드로 플래닝,언더 스티어링,캐비테이션,페이드,2,,,,,,,,,,,,,
121,자동차공학,자동차에 사용되는 에어컨 리시버 드라이버의 기능으로 틀린 것은?,냉매의 기포 분리,냉매의 수분 제거,냉매 압축 송출,액체 냉매 저장,1,,,,,,,,,,,,,
122,자동차공학,외력은 제거하면 원래의 상태로 돌아가지 않는 성질을 무엇이라 하는가?,인장강도,항복점,소성변형,탄성변형,2,,,,,,,,,,,,,
123,자동차공학,유해가스 감지센서(AQS)가 차단하는 가스가 아닌 것은?,CO,CO2,NO2,SO2,3,,,,,,,,,,,,,
124,자동차공학,전자제어 연료 분사장치의 연료 인젝터는 무엇에 의해서 연료를 분사하는가?,컴퓨터의 분사신호,연료의 규정압력,로커암의 하강,플런저의 하강,3,,,,,,,,,,,,,
125,자동차공학,자동차 기관의 피스톤과 실린더와의 간극이 클 때 일어나는 현상이 아닌 것은?,압축압력이 저하한다.,피스톤 슬랩 현상이 생긴다.,피스톤과 실린더의 소결이 일어난다.,오일이 연소실로 올라간다.,1,,,,,,,,,,,,,
